country,country_code,year,both_accounts,only_financial_institution_account,only_mobile_money_account,financial_institution_share,mobile_money_share
Afghanistan,AFG,2014,0.3044038,9.656597,0.0,9.961000799999999,0.3044038
Afghanistan,AFG,2017,0.5675877,13.979497,0.34622848,14.547084700000001,0.91381618
Afghanistan,AFG,2021,0.0,9.653822,0.0,9.653822,0.0
Albania,ALB,2017,1.6800957,37.63741,0.6976664,39.317505700000005,2.3777621
Argentina,ARG,2014,0.43231958,49.764977,0.0,50.19729658,0.43231958
Argentina,ARG,2017,1.6243733,46.29232,0.79179406,47.9166933,2.41616736
Argentina,ARG,2021,29.78249,36.54295,5.301648,66.32544,35.084137999999996
Armenia,ARM,2014,0.22873613,17.011229,0.4291013,17.23996513,0.6578374300000001
Armenia,ARM,2017,7.325109,38.00371,2.4301977,45.328818999999996,9.7553067
Armenia,ARM,2021,13.641949,38.604992,3.1007946,52.24694100000001,16.7427436
Bangladesh,BGD,2014,0.84299874,28.299105,1.8487155,29.14210374,2.69171424
Bangladesh,BGD,2017,12.171692,28.800955,9.074267,40.972646999999995,21.245959
Bangladesh,BGD,2021,13.885912,23.800274,15.119881,37.686186,29.005792999999997
Benin,BEN,2014,1.3818266,14.598107,0.64090043,15.9799336,2.02272703
Benin,BEN,2017,11.489131,20.395384,6.6047072,31.884515,18.0938382
Benin,BEN,2021,11.866442,11.921814,24.817276,23.788255999999997,36.683718
Bolivia,BOL,2014,1.6912453,39.019577,1.0858983,40.7108223,2.7771436
Bolivia,BOL,2017,3.9218328,47.285667,3.1975567,51.207499799999994,7.1193895
Bolivia,BOL,2021,12.033741,55.931225,0.9204805,67.964966,12.9542215
Botswana,BWA,2014,18.030539,31.213045,2.720985,49.243584,20.751524
Botswana,BWA,2017,18.174158,26.654146,6.2041492,44.828304,24.3783072
Botswana,BWA,2022,27.684637,22.195063,8.883494,49.8797,36.568131
Brazil,BRA,2014,0.8577456,67.26541,0.0,68.1231556,0.8577456
Brazil,BRA,2017,4.8365307,65.20741,0.0,70.0439407,4.8365307
Brazil,BRA,2021,26.487568,57.075623,0.47255754,83.563191,26.96012554
Burkina Faso,BFA,2014,2.1478589,11.276628,0.9331107,13.424486900000002,3.0809696
Burkina Faso,BFA,2017,13.203333,10.137195,19.819464,23.340528,33.022797
Burkina Faso,BFA,2021,9.609278,11.443366,15.055892,21.052644,24.66517
Burundi,BDI,2014,0.5840864,6.359374,0.16229823,6.9434604,0.74638463
Cambodia,KHM,2014,3.6857843,8.87071,9.608771,12.5564943,13.2945553
Cambodia,KHM,2017,1.7898932,16.012276,3.8696156,17.8021692,5.6595088
Cambodia,KHM,2021,5.799874,26.796759,0.7983595,32.596633000000004,6.5982335
Cameroon,CMR,2014,0.9699071,10.38113,0.8266978,11.351037100000001,1.7966049000000002
Cameroon,CMR,2017,7.4138107,19.45296,7.72402,26.8667707,15.1378307
Cameroon,CMR,2021,14.313063,9.221789,28.119963,23.534852,42.433026
Chad,TCD,2014,1.0162596,6.683238,4.733847,7.6994976,5.7501066
Chad,TCD,2017,2.2277138,6.525783,13.005695,8.7534968,15.2334088
Chad,TCD,2022,6.75247,11.564568,5.3342953,18.317038,12.0867653
Chile,CHL,2014,3.741726,59.46903,0.04812479,63.210755999999996,3.78985079
Chile,CHL,2017,18.158276,55.67843,0.51254034,73.83670599999999,18.670816340000002
Colombia,COL,2014,1.5667627,36.786575,0.64567924,38.3533377,2.2124419399999997
Colombia,COL,2017,3.8672056,41.02178,0.8702457,44.8889856,4.7374513
Colombia,COL,2021,17.993507,37.949642,3.7727594,55.943149,21.7662664
Comoros,COM,2022,3.993243,26.524267,3.7326634,30.517509999999998,7.7259063999999995
Congo,COG,2014,1.5995045,15.084151,0.38594157,16.6836555,1.98544607
Congo,COG,2017,3.403657,19.854311,2.8347821,23.257967999999998,6.2384391
Congo,COG,2021,7.758172,10.3647175,29.019268,18.1228895,36.77744
Cote d'Ivoire,CIV,2014,5.0756083,10.060647,19.185768,15.136255299999998,24.2613763
Cote d'Ivoire,CIV,2017,7.4888153,7.2777805,26.564358,14.766595800000001,34.0531733
Cote d'Ivoire,CIV,2021,10.207148,10.366347,30.188795,20.573495,40.395943
Democratic Republic of Congo,COD,2014,2.6392705,8.26832,6.5693936,10.9075905,9.2086641
Democratic Republic of Congo,COD,2017,5.26586,9.729336,10.83048,14.995196,16.096339999999998
Democratic Republic of Congo,COD,2022,4.8625426,4.764949,17.81364,9.627491599999999,22.6761826
Dominican Republic,DOM,2014,2.2134614,51.772934,0.10459423,53.9863954,2.31805563
Dominican Republic,DOM,2017,2.4384367,52.344513,1.4562428,54.782949699999996,3.8946795
Dominican Republic,DOM,2021,5.819755,43.726322,1.7519325,49.546077000000004,7.5716874999999995
East Asia and Pacific (excluding high income) (WB),,2014,0.20028473,68.51596,0.2034545,68.71624473000001,0.40373923
East Asia and Pacific (excluding high income) (WB),,2017,0.9593212,69.15066,0.26123524,70.10998120000001,1.22055644
East Asia and Pacific (excluding high income) (WB),,2021,5.0232882,74.974205,0.7850766,79.9974932,5.8083648
Ecuador,ECU,2017,2.5587296,48.309044,0.37824512,50.8677736,2.93697472
Egypt,EGY,2014,0.6698997,12.981853,0.47504455,13.6517527,1.14494425
Egypt,EGY,2017,1.0790136,30.992344,0.7130027,32.0713576,1.7920162999999998
Egypt,EGY,2021,1.5703429,24.528566,1.345095,26.0989089,2.9154378999999997
El Salvador,SLV,2014,2.4717965,32.162926,2.0849915,34.634722499999995,4.556788
El Salvador,SLV,2017,2.53242,26.803331,1.017195,29.335751000000002,3.549615
El Salvador,SLV,2021,5.782289,24.927132,5.1359324,30.709421,10.9182214
Eswatini,SWZ,2022,29.038725,9.431404,27.705673,38.470129,56.744398000000004
Ethiopia,ETH,2014,0.027894864,21.763687,0.0,21.791581864,0.027894864
Ethiopia,ETH,2017,0.3159289,34.51164,0.0,34.8275689,0.3159289
Ethiopia,ETH,2022,4.20698,41.841667,0.4314214,46.048647,4.638401399999999
Europe and Central Asia (excluding high income) (WB),,2014,0.1365763,57.391182,0.03427863,57.5277583,0.17085493000000002
Europe and Central Asia (excluding high income) (WB),,2017,3.0715756,61.845734,0.21870732,64.9173096,3.29028292
Europe and Central Asia (excluding high income) (WB),,2021,16.0257,61.140022,0.6264031,77.165722,16.6521031
Gabon,GAB,2014,3.7887938,26.365759,2.859631,30.1545528,6.6484248
Gabon,GAB,2017,18.960646,15.024013,24.617342,33.984659,43.577988000000005
Gabon,GAB,2021,18.940502,8.612198,38.53727,27.552699999999998,57.477772
Gambia,GMB,2022,2.1290905,29.265394,1.6165346,31.3944845,3.7456251000000003
Georgia,GEO,2017,2.2010217,59.029423,0.0,61.2304447,2.2010217
Georgia,GEO,2021,8.204367,62.267487,0.026834011,70.47185400000001,8.231201011
Ghana,GHA,2014,7.119131,27.499243,5.8874187,34.618374,13.0065497
Ghana,GHA,2017,23.514423,18.769745,15.433359,42.284168,38.947782000000004
Ghana,GHA,2021,30.654156,8.542466,29.033773,39.196622,59.687929
Guatemala,GTM,2014,1.2077878,39.57894,0.56248903,40.7867278,1.7702768299999998
Guatemala,GTM,2017,1.5546871,41.980602,0.5717188,43.5352891,2.1264059
Guatemala,GTM,2022,3.1081173,31.742077,2.127686,34.8501943,5.235803300000001
Guinea,GIN,2014,0.68339556,5.4867315,0.78989005,6.17012706,1.47328561
Guinea,GIN,2017,4.922311,9.705565,8.858158,14.627876,13.780469
Guinea,GIN,2021,4.8404307,8.930315,16.66959,13.770745699999999,21.5100207
Haiti,HTI,2014,2.4201126,15.075988,1.3625771,17.496100600000002,3.7826896999999997
Haiti,HTI,2017,9.084951,19.103998,4.432237,28.188949,13.517188
Honduras,HND,2014,1.9660003,28.077658,1.4427006,30.0436583,3.4087009
Honduras,HND,2017,3.797471,39.146957,2.3985415,42.944428,6.1960125
Honduras,HND,2021,4.8950357,28.981472,3.973195,33.8765077,8.8682307
India,IND,2014,1.9644641,50.78934,0.3877461,52.7538041,2.3522102
India,IND,2017,1.9594003,77.88078,0.0351429,79.8401803,1.9945432
India,IND,2021,10.2126,67.089455,0.22708774,77.302055,10.43968774
Indonesia,IDN,2014,0.33800387,35.609356,0.11162758,35.94735987,0.44963145
Indonesia,IDN,2017,2.6585226,45.733536,0.46539307,48.3920586,3.12391567
Indonesia,IDN,2021,8.042838,42.46301,1.2494802,50.505848,9.2923182
Iran,IRN,2014,4.390662,87.78456,0.105029345,92.175222,4.495691345
Iran,IRN,2017,25.670969,67.6853,0.62564015,93.356269,26.29660915
Iran,IRN,2021,12.022054,77.59832,0.36429763,89.620374,12.38635163
Iraq,IRQ,2017,1.8751211,18.450396,2.3396344,20.325517100000003,4.2147555
Iraq,IRQ,2021,2.002616,13.759777,2.802889,15.762393,4.805505
Jamaica,JAM,2014,0.8042556,77.5417,0.11224747,78.34595560000001,0.91650307
Jamaica,JAM,2021,12.029812,60.640232,0.6303191,72.67004399999999,12.6601311
Jordan,JOR,2014,0.46866584,24.147245,0.0,24.61591084,0.46866584
Jordan,JOR,2017,0.6507216,41.432056,0.41024685,42.0827776,1.06096845
Jordan,JOR,2021,6.894063,36.45988,3.7657201,43.353943,10.6597831
Kenya,KEN,2014,38.940342,16.265202,19.452291,55.205544,58.392633000000004
Kenya,KEN,2017,47.082066,8.635884,25.849617,55.71795,72.93168299999999
Kenya,KEN,2021,40.03678,10.5364685,28.621912,50.5732485,68.658692
Kyrgyzstan,KGZ,2017,1.4480373,36.835125,1.658839,38.2831623,3.1068762999999997
Kyrgyzstan,KGZ,2021,7.305078,33.66541,4.124358,40.970488,11.429435999999999
Laos,LAO,2021,5.479982,31.840048,0.0,37.32003,5.479982
Latin America and Caribbean (excluding high income) (WB),,2014,1.4506094,49.84386,0.2609372,51.2944694,1.7115466000000001
Latin America and Caribbean (excluding high income) (WB),,2017,4.3229628,49.243946,0.918448,53.5669088,5.2414108
Latin America and Caribbean (excluding high income) (WB),,2021,21.41728,49.587162,1.9429743,71.004442,23.3602543
Lebanon,LBN,2014,0.6707376,46.256397,0.0,46.9271346,0.6707376
Lesotho,LSO,2017,15.399504,17.921976,12.242338,33.32148,27.641842
Lesotho,LSO,2022,26.608932,17.756983,19.268993,44.365915,45.877925
Liberia,LBR,2017,6.7129893,14.870447,14.1304035,21.583436300000002,20.8433928
Liberia,LBR,2021,13.254261,15.33508,23.041805,28.589340999999997,36.296065999999996
Low-income countries,,2014,2.8238878,11.98469,3.9276018,14.8085778,6.7514896
Low-income countries,,2017,6.212968,16.83529,8.482464,23.048258,14.695432
Low-income countries,,2021,11.843358,12.035081,15.110101,23.878439,26.953459000000002
Lower-middle-income countries,,2014,2.2133648,39.942734,1.5399128,42.1560988,3.7532775999999997
Lower-middle-income countries,,2017,4.3948517,51.695114,2.177292,56.08996569999999,6.5721437
Lower-middle-income countries,,2021,9.984359,48.514053,3.8832486,58.498411999999995,13.8676076
Madagascar,MDG,2014,1.5321683,4.19532,2.8238506,5.727488299999999,4.3560189000000005
Madagascar,MDG,2017,3.7571013,5.812568,8.298202,9.5696693,12.0553033
Madagascar,MDG,2022,6.7262917,7.2707267,12.300807,13.9970184,19.0270987
Malawi,MWI,2014,1.887349,14.248319,1.956752,16.135668,3.844101
Malawi,MWI,2017,9.580183,13.411101,10.722649,22.991284,20.302832000000002
Malawi,MWI,2021,11.861582,8.360124,22.486105,20.221706,34.347687
Malaysia,MYS,2014,2.8302112,77.84441,0.0,80.67462119999999,2.8302112
Malaysia,MYS,2017,10.662615,74.467415,0.21371841,85.13003,10.87633341
Malaysia,MYS,2021,27.769318,60.396023,0.20954013,88.165341,27.97885813
Maldives,MDV,2017,23.199347,56.24562,0.101441145,79.444967,23.300788145
Mali,MLI,2014,4.8198195,8.433586,6.822635,13.2534055,11.6424545
Mali,MLI,2017,7.1349144,11.019029,17.262735,18.1539434,24.3976494
Mali,MLI,2021,14.319986,14.122924,15.058077,28.442909999999998,29.378063
Mauritania,MRT,2014,4.059896,16.385487,2.4204998,20.445383,6.4803958
Mauritania,MRT,2017,2.170931,16.860128,1.8414468,19.031059,4.012377799999999
Mauritania,MRT,2022,7.1019993,13.293979,3.059958,20.3959783,10.161957300000001
Mauritius,MUS,2014,0.8643314,81.34394,0.0,82.2082714,0.8643314
Mauritius,MUS,2017,5.279126,84.21559,0.34781098,89.49471600000001,5.62693698
Mauritius,MUS,2021,15.325194,74.63068,0.5704701,89.955874,15.8956641
Mexico,MEX,2014,2.9785328,35.716816,0.44549704,38.695348800000005,3.42402984
Mexico,MEX,2017,4.0610566,31.379341,1.4915228,35.4403976,5.5525794
Mexico,MEX,2022,15.41269,30.831392,2.7273922,46.244082,18.1400822
Middle East and North Africa (excluding high income) (WB),,2017,5.2521524,37.658615,0.50931275,42.9107674,5.76146515
Middle East and North Africa (excluding high income) (WB),,2021,4.6550055,42.26003,1.1775911,46.9150355,5.8325966
Middle-income countries,,2014,1.4084133,55.044266,0.80879927,56.4526793,2.21721257
Middle-income countries,,2017,3.2889042,60.278984,1.2952149,63.5678882,4.584119100000001
Middle-income countries,,2021,9.688844,60.303215,2.3774505,69.992059,12.0662945
Mongolia,MNG,2014,4.9979873,86.8238,0.0,91.82178730000001,4.9979873
Mongolia,MNG,2017,21.897148,71.07402,0.0,92.971168,21.897148
Mongolia,MNG,2021,58.52307,39.642525,0.28942227,98.165595,58.81249227
Morocco,MAR,2017,0.40532583,28.005249,0.23388565,28.410574829999998,0.6392114799999999
Morocco,MAR,2021,4.138478,38.10086,2.1334946,42.239338,6.2719726
Mozambique,MOZ,2017,13.199718,19.803284,8.667103,33.003002,21.866821
Mozambique,MOZ,2021,18.518772,20.11615,10.857823,38.634922,29.376595
Myanmar,MMR,2014,-1.1641532e-08,22.620401,0.16379207,22.62040098835847,0.16379205835846802
Myanmar,MMR,2017,0.30744764,25.301798,0.38305223,25.60924564,0.69049987
Myanmar,MMR,2021,17.383036,18.760323,11.647669,36.143359000000004,29.030705
Namibia,NAM,2014,9.588442,48.474804,0.7706523,58.063246,10.3590943
Namibia,NAM,2017,40.14017,37.204025,3.2893002,77.344195,43.4294702
Namibia,NAM,2021,36.85246,28.721704,5.7722273,65.574164,42.6246873
Nepal,NPL,2014,0.3360386,33.465313,0.0,33.801351600000004,0.3360386
Nepal,NPL,2021,4.891291,47.91078,1.2006164,52.802071000000005,6.0919074
Nicaragua,NIC,2014,0.47009587,18.38471,0.5836785,18.85480587,1.05377437
Nicaragua,NIC,2017,1.4982592,26.934574,2.4291575,28.4328332,3.9274167
Nicaragua,NIC,2021,3.7166982,19.474724,2.8413801,23.191422199999998,6.5580783
Niger,NER,2014,0.636122,2.8539226,3.2165434,3.4900446,3.8526654
Niger,NER,2017,2.7101457,6.8060064,6.0070925,9.5161521,8.7172382
Niger,NER,2022,2.241463,6.3082147,3.1359136,8.5496777,5.3773766
Nigeria,NGA,2014,2.0261743,42.147026,0.26878715,44.1732003,2.29496145
Nigeria,NGA,2017,5.344754,34.06069,0.26141107,39.405444,5.60616507
Nigeria,NGA,2021,8.473401,36.666424,0.17680824,45.139825,8.65020924
Pakistan,PAK,2014,1.4697462,7.236392,4.3300533,8.7061382,5.799799500000001
Pakistan,PAK,2017,3.641697,14.407687,3.2438607,18.049384,6.8855577
Pakistan,PAK,2021,3.8449743,12.443224,4.6924324,16.2881983,8.5374067
Palestine,PSE,2021,1.8659832,31.314423,0.4621446,33.1804062,2.3281278
Panama,PAN,2014,1.2993646,42.10419,0.2585858,43.4035546,1.5579504000000002
Panama,PAN,2017,2.8309476,42.991093,0.6722212,45.8220406,3.5031688
Paraguay,PRY,2017,11.308798,19.765095,17.57297,31.073892999999998,28.881768
Paraguay,PRY,2021,10.364657,16.719168,27.336151,27.083824999999997,37.700808
Peru,PER,2014,0.0,28.975233,0.0,28.975233,0.0
Peru,PER,2017,2.221407,39.969013,0.41275918,42.190419999999996,2.6341661800000002
Peru,PER,2021,13.107231,43.153076,1.2375534,56.260307,14.3447844
Philippines,PHL,2014,1.0057658,27.05996,3.220108,28.0657258,4.2258738000000005
Philippines,PHL,2017,1.8199626,29.97711,2.7013361,31.7970726,4.5212987
