year,trend_factor,digital_inclusion_index,account_ratio,mobile_growth_pct,financial_growth_pct,mobile_money_share,financial_institution_share,forecast_only_mobile_money_account
2023,1.125,0.2637648264764941,0.7683252575399966,1.9151385736027149,0.2215651639491045,20.727477072152382,32.025488223146425,12.623505556707531
2024,1.25,0.2728175248315595,0.8185495374749084,2.101272244473686,0.23553025264355518,22.564125505733337,31.999379460578567,12.381924154004906
2025,1.375,0.281870223186625,0.8687738174098203,2.287405915344657,0.24949534133800583,24.40077393931429,31.973270698010705,12.53642944673739
2026,1.5,0.2909229215416905,0.918998097344732,2.473539586215628,0.2634604300324565,26.23742237289525,31.947161935442846,13.926803832012197
2027,1.625,0.29997561989675603,0.9692223772796439,2.6596732570865993,0.2774255187269071,28.074070806476204,31.921053172874988,14.867711103624508
2028,1.75,0.30902831825182153,1.0194466572145557,2.8458069279575704,0.2913906074213578,29.91071924005716,31.89494441030713,16.044182290090674
2029,1.875,0.318081016606887,1.0696709371494675,3.0319405988285415,0.3053556961158085,31.747367673638117,31.86883564773927,16.949372311710583
2030,2.0,0.3271337149619525,1.1198952170843794,3.2180742696995126,0.31932078481025916,33.58401610721907,31.842726885171412,17.07870703051019
2031,2.125,0.336186413317018,1.1701194970192912,3.4042079405704837,0.3332858735047098,35.420664540800026,31.81661812260355,20.218983375021136
2032,2.25,0.34523911167208343,1.220343776954203,3.590341611441455,0.34725096219916046,37.25731297438098,31.790509360035692,20.712764782550455
2033,2.375,0.35429181002714893,1.270568056889115,3.776475282312426,0.3612160508936111,39.093961407961935,31.764400597467834,24.41926011714248
2034,2.5,0.36334450838221444,1.3207923368240269,3.962608953183397,0.37518113958806176,40.93060984154289,31.738291834899975,25.227188850778468
